timestamp,wind_speed
1659124800,3.78
1659128400,3.96
1659132000,9.54
1659135600,3.06
1659139200,1.26
1659142800,0
1659146400,0
1659150000,0
1659153600,1.8
1659157200,0.54
1659160800,0
1659164400,1.62
1659168000,3.78
1659171600,2.16
1659175200,4.68
1659178800,6.12
1659182400,7.02
1659186000,9
1659189600,6.66
1659193200,7.38
1659196800,7.38
1659200400,6.3
1659204000,0.36
1659207600,0
1659211200,0
1659214800,0
1659218400,2.16
1659222000,4.14
1659225600,3.06
1659229200,3.06
1659232800,6.48
1659236400,2.7
1659240000,5.76
1659243600,6.66
1659247200,1.8
1659250800,3.24
1659254400,5.04
1659258000,4.5
1659261600,3.96
1659265200,9.18
1659268800,8.28
1659272400,10.62
1659276000,5.04
1659279600,6.3
1659283200,8.28
1659286800,3.42
1659290400,0.54
1659294000,0
1659297600,1.26
1659301200,3.42
