timestamp,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80
1657771200,-248.6974669,-156.8736196,-252.429467,-279.85395,-21.61647201,-28.6124031,-106.3803961,-420.344557,-23.10238322,-21.041212,-25.54639104,-855.0410533
1657774800,-248.3241733,-155.8355776,-248.6974669,-276.5064985,-21.32884679,-28.6124031,-106.3803961,-417.1011474,-23.38994944,-21.041212,-25.54639104,-855.8162404
1657778400,-249.0707434,-155.5052645,-245.7106419,-274.3206132,-21.61647201,-28.94768212,-106.0481387,-415.2732843,-23.38994944,-21.041212,-25.54639104,-859.7769633
1657782000,-249.8172455,-155.5052645,-243.4698088,-273.20419,-21.61647201,-29.23505376,-105.6684,-415.2732843,-23.72543126,-21.32884679,-25.83387592,-865.3267968
1657785600,-250.5636796,-156.5433474,-242.3491625,-273.9484891,-21.61647201,-29.23505376,-106.3803961,-418.5631317,-24.01297674,-21.61647201,-25.83387592,-875.6402987
1657789200,-252.0563435,-158.6191274,-243.096277,-276.8785056,-21.90408767,-29.52241584,-107.0923324,-426.5535438,-24.01297674,-21.61647201,-25.83387592,-888.6820893
1657792800,-254.6678506,-161.7318325,-246.8775,-282.8283057,-21.90408767,-29.85765951,-108.1363974,-439.2301477,-24.30051266,-21.61647201,-26.16926285,-904.8215053
1657796400,-259.0961792,-166.9171014,-253.1756629,-290.2130085,-21.90408767,-27.07953316,-109.5124684,-453.3871837,-22.76687721,-21.61647201,-26.16926285,-921.2217556
1657800000,-266.1765155,-173.511883,-261.3327383,-298.3330579,-21.90408767,-27.07953316,-111.2678207,-467.1553267,-22.76687721,-21.61647201,-26.16926285,-937.5828121
1657803600,-273.5763481,-180.8071715,-269.1093284,-305.3329585,-21.90408767,-27.366967,-112.643383,-476.91,-23.38994944,-21.61647201,-26.16926285,-950.9747287
1657807200,-281.341264,-187.3909756,-275.4368833,-311.2619029,-21.90408767,-27.366967,-114.3980861,-483.6630075,-23.72543126,-21.61647201,-26.16926285,-961.4148369
1657810800,-287.9843723,-193.2649698,-280.597641,-316.0296883,-21.90408767,-27.366967,-115.8205513,-488.5541161,-23.72543126,-21.61647201,-26.16926285,-967.6457603
1657814400,-294.6684435,-198.4306492,-284.6867252,-319.3608346,-21.90408767,-27.366967,-117.5271938,-491.9036413,-23.72543126,-21.61647201,-26.16926285,-973.0666482
1657818000,-300.5588489,-203.1239305,-287.9843723,-322.3206967,-21.90408767,-27.366967,-119.280884,-492.265665,-23.72543126,-21.61647201,-26.16926285,-974.7597826
1657821600,-306.4449673,-206.079333,-290.2130085,-324.1700577,-21.90408767,-27.366967,-121.0342103,-490.7722078,-23.72543126,-21.61647201,-25.83387592,-972.6856344
1657825200,-310.8914715,-208.0490152,-289.4701978,-323.4303644,-21.61647201,-27.366967,-121.7449146,-486.6523867,-23.38994944,-21.32884679,-25.83387592,-965.9932179
1657828800,-314.224742,-209.3618762,-287.2413575,-321.210876,-21.61647201,-27.07953316,-122.4081847,-480.2645802,-23.38994944,-21.041212,-25.83387592,-955.9845928
1657832400,-316.7700621,-209.3618762,-283.9434084,-318.2506056,-21.61647201,-27.7022944,-122.7871727,-474.0075676,-23.10238322,-21.041212,-25.83387592,-945.9611637
1657836000,-318.9907752,-209.0336805,-280.597641,-314.224742,-21.61647201,-27.98970751,-123.1187734,-467.4731142,-23.38994944,-21.32884679,-25.83387592,-936.7316413
1657839600,-320.4709105,-208.7054717,-276.5064985,-310.521023,-21.61647201,-28.6124031,-123.4977295,-461.3420584,-23.38994944,-21.041212,-25.83387592,-929.1941452
