timestamp,air_humidity
1658937600,50.95
1658941200,51.95
1658944800,56.95
1658948400,64.65
1658952000,74.25
1658955600,76.75
1658959200,82.05
1658962800,83.1
1658966400,85.2
1658970000,84.3
1658973600,83.8
1658977200,84
1658980800,83.85
1658984400,76.95
1658988000,69.5
1658991600,65.15
1658995200,64.75
1658998800,63.5
1659002400,61.3
1659006000,58.35
1659009600,54.9
1659013200,52.15
1659016800,51.65
1659020400,51.85
1659024000,55.45
1659027600,55.9
1659031200,63.15
1659034800,77.5
1659038400,78.75
1659042000,77.1
1659045600,79.25
1659049200,81.65
1659052800,83.15
1659056400,84
1659060000,86
1659063600,86.45
1659067200,85.2
1659070800,78.2
1659074400,69.65
1659078000,64.15
1659081600,62
1659085200,59.75
1659088800,55.2
1659092400,53.5
1659096000,50.05
1659099600,47.3
1659103200,54.15
1659106800,62.05
1659110400,71.95
1659114000,74.85
1659117600,78.3
1659121200,85.55
1659124800,78.8
1659128400,77.85
1659132000,77.25
1659135600,78.3
1659139200,81.05
1659142800,82.85
1659146400,84.6
1659150000,88.9
1659153600,90.1
1659157200,86.6
1659160800,78.05
1659164400,67.35
1659168000,63.45
1659171600,61.95
1659175200,57.9
1659178800,54.9
1659182400,50.05
1659186000,45.5
1659189600,45.35
1659193200,45.4
1659196800,48.6
1659200400,47.8
1659204000,52.1
1659207600,65.55
1659211200,78.5
1659214800,79
1659218400,75.85
1659222000,73.4
1659225600,71.55
1659229200,69.85
1659232800,68.9
1659236400,68.1
1659240000,68.3
1659243600,62.3
1659247200,56.9
1659250800,51.05
1659254400,51.15
1659258000,46.45
1659261600,42.25
1659265200,39.6
1659268800,38.5
1659272400,35.95
1659276000,34.7
1659279600,34
1659283200,36.55
1659286800,39.1
1659290400,49.25
1659294000,61.6
1659297600,63.6
1659301200,60.1
